"departement_id","faculte_id","nom_departement"
1,1,"Gestion"
2,1,"Économie Monétaire"
3,1,"Économie du Développement"
4,1,"Économie Rurale"
5,2,"Chirurgie"
6,2,"Pédiatrie"
7,2,"Gynécologie"
8,2,"Médecine Interne"
9,3,"Droit Public"
10,3,"Droit Privé"
11,3,"Droit International"
12,4,"Agronomie Générale"
13,4,"Zootechnie"
14,4,"Phytotechnie"
15,5,"Psychologie"
16,5,"Sciences de l’Éducation Générale"
17,5,"Pédagogie Appliquée"
18,6,"Sociologie"
19,6,"Anthropologie"
20,6,"Travail Social"
21,7,"Lettres Modernes"
22,7,"Langues Africaines"
23,7,"Philosophie"
24,8,"Comptabilité"
25,8,"Gestion des Entreprises"
26,8,"Marketing"
27,9,"Finance"
28,9,"Audit et Contrôle"
29,9,"Fiscalité"
30,10,"Programmation"
31,10,"Bases de Données"
32,10,"Systèmes d’Information"
33,11,"Réseaux Informatiques"
34,11,"Télécommunications"
35,11,"Cybersécurité"
36,12,"Mathématiques Générales"
37,12,"Statistiques"
38,12,"Recherche Opérationnelle"
39,13,"Théologie Dogmatique"
40,13,"Théologie Pastorale"
41,13,"Théologie Morale"
42,14,"Science Politique Générale"
43,14,"Relations Internationales"
44,14,"Administration Publique"
45,15,"Communication Sociale Générale"
46,15,"Journalisme"
47,15,"Relations Publiques"
48,16,"Économie Générale"
49,16,"Gestion Financière"
50,16,"Management"
51,17,"Droit Privé"
52,17,"Droit Public"
53,17,"Droit des Affaires"
54,18,"Médecine Générale"
55,18,"Pharmacie"
56,18,"Santé Publique"
57,19,"Soins Infirmiers Généraux"
58,19,"Pédiatrie Infirmière"
59,19,"Santé Maternelle"
60,20,"Biologie Médicale"
61,20,"Hématologie"
62,20,"Microbiologie"
63,20,"Immunologie"
