"faculte_id","universite_id","nom_faculte"
1,1,"Sciences Économiques"
2,1,"Médecine"
3,1,"Droit"
4,1,"Sciences Agronomiques"
5,2,"Sciences de l’Éducation"
6,2,"Sciences Sociales"
7,2,"Lettres et Philosophie"
8,3,"Sciences de Gestion"
9,3,"Comptabilité et Finance"
10,4,"Informatique et Programmation"
11,4,"Réseaux et Télécommunications"
12,4,"Mathématiques Appliquées"
13,5,"Théologie"
14,5,"Sciences Politiques"
15,5,"Communication Sociale"
16,6,"Sciences Économiques et Gestion"
17,6,"Droit"
18,6,"Sciences de la Santé"
19,7,"Sciences Infirmières"
20,7,"Techniques de Laboratoire"
