"promotion_id","departement_id","nom_promotion"
1,42,"L1 Science Politique Générale"
2,42,"L2 Science Politique Générale"
3,42,"L3 Science Politique Générale"
4,42,"M1 Science Politique Générale"
5,42,"M2 Science Politique Générale"
6,2,"L1 Économie Monétaire"
7,2,"L2 Économie Monétaire"
8,2,"L3 Économie Monétaire"
9,2,"M1 Économie Monétaire"
10,2,"M2 Économie Monétaire"
11,3,"L1 Économie du Développement"
12,3,"L2 Économie du Développement"
13,3,"L3 Économie du Développement"
14,3,"M1 Économie du Développement"
15,3,"M2 Économie du Développement"
16,4,"L1 Économie Rurale"
17,4,"L2 Économie Rurale"
18,4,"L3 Économie Rurale"
19,4,"M1 Économie Rurale"
20,4,"M2 Économie Rurale"
21,5,"L1 Chirurgie"
22,5,"L2 Chirurgie"
23,5,"L3 Chirurgie"
24,5,"M1 Chirurgie"
25,5,"M2 Chirurgie"
26,6,"L1 Pédiatrie"
27,6,"L2 Pédiatrie"
28,6,"L3 Pédiatrie"
29,6,"M1 Pédiatrie"
30,6,"M2 Pédiatrie"
31,7,"L1 Gynécologie"
32,7,"L2 Gynécologie"
33,7,"L3 Gynécologie"
34,7,"M1 Gynécologie"
35,7,"M2 Gynécologie"
36,47,"L1 Relations Publiques"
37,47,"L2 Relations Publiques"
38,47,"L3 Relations Publiques"
39,47,"M1 Relations Publiques"
40,47,"M2 Relations Publiques"
41,9,"L1 Droit Public"
42,9,"L2 Droit Public"
43,9,"L3 Droit Public"
44,9,"M1 Droit Public"
45,9,"M2 Droit Public"
46,10,"L1 Droit Privé"
47,10,"L2 Droit Privé"
48,10,"L3 Droit Privé"
49,10,"M1 Droit Privé"
50,10,"M2 Droit Privé"
51,11,"L1 Droit International"
52,11,"L2 Droit International"
53,11,"L3 Droit International"
54,11,"M1 Droit International"
55,11,"M2 Droit International"
56,12,"L1 Agronomie Générale"
57,12,"L2 Agronomie Générale"
58,12,"L3 Agronomie Générale"
59,12,"M1 Agronomie Générale"
60,12,"M2 Agronomie Générale"
61,62,"L1 Microbiologie"
62,61,"L2 Hématologie"
63,61,"L3 Hématologie"
64,62,"M1 Microbiologie"
65,62,"M2 Microbiologie"
66,55,"L1 Pharmacie"
67,55,"L2 Pharmacie"
68,50,"L3 Management"
69,50,"M1 Management"
70,50,"M2 Management"
71,15,"L1 Psychologie"
72,15,"L2 Psychologie"
73,15,"L3 Psychologie"
74,15,"M1 Psychologie"
75,15,"M2 Psychologie"
76,16,"L1 Sciences de l’Éducation Générale"
77,16,"L2 Sciences de l’Éducation Générale"
78,16,"L3 Sciences de l’Éducation Générale"
79,16,"M1 Sciences de l’Éducation Générale"
80,16,"M2 Sciences de l’Éducation Générale"
81,17,"L1 Pédagogie Appliquée"
82,17,"L2 Pédagogie Appliquée"
83,17,"L3 Pédagogie Appliquée"
84,17,"M1 Pédagogie Appliquée"
85,17,"M2 Pédagogie Appliquée"
86,18,"L1 Sociologie"
87,18,"L2 Sociologie"
88,18,"L3 Sociologie"
89,18,"M1 Sociologie"
90,18,"M2 Sociologie"
91,19,"L1 Anthropologie"
92,19,"L2 Anthropologie"
93,19,"L3 Anthropologie"
94,19,"M1 Anthropologie"
95,19,"M2 Anthropologie"
96,20,"L1 Travail Social"
97,20,"L2 Travail Social"
98,20,"L3 Travail Social"
99,20,"M1 Travail Social"
100,20,"M2 Travail Social"
101,21,"L1 Lettres Modernes"
102,21,"L2 Lettres Modernes"
103,21,"L3 Lettres Modernes"
104,22,"L1 Langues Africaines"
105,22,"L2 Langues Africaines"
106,22,"L3 Langues Africaines"
107,23,"L1 Philosophie"
108,23,"L2 Philosophie"
109,23,"L3 Philosophie"
110,24,"L1 Comptabilité"
111,24,"L2 Comptabilité"
112,24,"L3 Comptabilité"
113,25,"L1 Gestion des Entreprises"
114,25,"L2 Gestion des Entreprises"
115,25,"L3 Gestion des Entreprises"
116,26,"L1 Marketing"
117,26,"L2 Marketing"
118,26,"L3 Marketing"
119,27,"L1 Finance"
120,27,"L2 Finance"
121,27,"L3 Finance"
122,28,"L1 Audit et Contrôle"
123,28,"L2 Audit et Contrôle"
124,28,"L3 Audit et Contrôle"
125,29,"L1 Fiscalité"
126,29,"L2 Fiscalité"
127,29,"L3 Fiscalité"
128,30,"L1 Programmation"
129,30,"L2 Programmation"
130,30,"L3 Programmation"
131,31,"L1 Bases de Données"
132,31,"L2 Bases de Données"
133,31,"L3 Bases de Données"
134,32,"L1 Systèmes d’Information"
135,32,"L2 Systèmes d’Information"
136,32,"L3 Systèmes d’Information"
137,32,"M1 Systèmes d’Information"
138,32,"M2 Systèmes d’Information"
139,33,"L1 Réseaux Informatiques"
140,33,"L2 Réseaux Informatiques"
141,33,"L3 Réseaux Informatiques"
142,33,"M1 Réseaux Informatiques"
143,33,"M2 Réseaux Informatiques"
