"paiement_id","compte_id","universite_id","faculte_id","departement_id","promotion_id","etudiant_id","type_frais_id","agence_id","guichetier_id","date_paiement","montant_paye"
67311,5,5,14,42,1,1,6,2,2,"2025-01-11 20:41:22.513924","3000.00"
67313,5,5,14,42,1,1,4,2,2,"2025-05-06 18:51:48.992463","5000.00"
67315,5,5,14,42,1,1,2,2,2,"2025-01-21 13:42:15.585863","80000.00"
67316,5,5,14,42,1,1,1,2,2,"2024-10-09 04:46:35.855222","20000.00"
67318,5,5,14,42,1,2,6,6,6,"2024-10-08 19:38:07.881937","3000.00"
67320,5,5,14,42,1,2,4,6,6,"2025-06-12 19:35:51.875699","5000.00"
67322,5,5,14,42,1,2,2,6,6,"2024-12-02 10:35:28.056789","80000.00"
67323,5,5,14,42,1,2,1,6,6,"2024-10-26 15:45:50.955877","20000.00"
67326,5,5,14,42,2,3,5,5,5,"2025-02-28 12:36:02.226451","10000.00"
67327,5,5,14,42,2,3,4,5,5,"2025-04-30 05:29:12.536328","5000.00"
67328,5,5,14,42,2,3,3,5,5,"2025-06-10 04:32:37.561786","50000.00"
67329,5,5,14,42,2,3,2,5,5,"2025-01-06 20:03:44.302539","48000.00"
67330,5,5,14,42,2,3,1,5,5,"2024-10-11 00:33:58.10662","20000.00"
67333,5,5,14,42,2,4,5,8,8,"2024-10-11 10:08:09.097133","10000.00"
67334,5,5,14,42,2,4,4,8,8,"2024-10-09 00:09:52.452192","5000.00"
67335,5,5,14,42,2,4,3,8,8,"2025-01-17 05:51:08.630395","50000.00"
67336,5,5,14,42,2,4,2,8,8,"2025-05-20 16:26:08.599793","80000.00"
67337,5,5,14,42,2,4,1,8,8,"2024-10-26 02:45:55.100488","20000.00"
67341,5,5,14,42,3,5,4,6,6,"2024-12-28 20:43:05.37937","5000.00"
67343,5,5,14,42,3,5,2,6,6,"2024-12-14 16:08:14.45508","48000.00"
67344,5,5,14,42,3,5,1,6,6,"2024-10-17 15:13:22.606297","20000.00"
67348,5,5,14,42,3,6,4,4,4,"2025-02-11 03:23:29.080588","5000.00"
67350,5,5,14,42,3,6,2,4,4,"2025-04-26 09:22:45.635924","48000.00"
67351,5,5,14,42,3,6,1,4,4,"2024-10-21 18:13:16.178532","20000.00"
67356,5,5,14,42,4,7,3,1,1,"2025-06-19 17:57:26.505327","60000.00"
67357,5,5,14,42,4,7,2,1,1,"2025-06-22 05:03:43.746616","100000.00"
67358,5,5,14,42,4,7,1,1,1,"2024-10-06 22:02:47.728701","20000.00"
67363,5,5,14,42,4,8,3,8,8,"2024-12-23 17:50:37.76873","60000.00"
67364,5,5,14,42,4,8,2,8,8,"2024-12-13 02:10:23.121753","100000.00"
67365,5,5,14,42,4,8,1,8,8,"2024-10-22 01:04:20.771391","20000.00"
67369,5,5,14,42,5,9,4,3,3,"2025-02-02 00:59:17.627931","5000.00"
67371,5,5,14,42,5,9,2,3,3,"2024-10-18 06:18:58.136205","72000.00"
67372,5,5,14,42,5,9,1,3,3,"2024-10-29 02:20:22.519193","25000.00"
67376,5,5,14,42,5,10,4,6,6,"2025-05-19 01:01:19.420682","5000.00"
67378,5,5,14,42,5,10,2,6,6,"2025-05-13 04:51:15.500365","72000.00"
67379,5,5,14,42,5,10,1,6,6,"2024-10-06 10:55:12.89308","25000.00"
67384,1,1,1,2,6,11,3,2,2,"2025-02-11 04:56:22.812328","50000.00"
67385,1,1,1,2,6,11,2,2,2,"2024-10-17 19:24:56.19073","72000.00"
67386,1,1,1,2,6,11,1,2,2,"2024-10-12 13:30:07.078535","25000.00"
67391,1,1,1,2,6,12,3,4,4,"2025-04-26 12:27:29.830513","50000.00"
67392,1,1,1,2,6,12,2,4,4,"2024-12-03 08:53:02.664225","120000.00"
67393,1,1,1,2,6,12,1,4,4,"2024-10-15 21:55:59.423195","25000.00"
67397,1,1,1,2,7,13,4,1,1,"2025-05-01 02:03:46.897847","5000.00"
67399,1,1,1,2,7,13,2,1,1,"2025-05-01 07:25:54.578708","70000.00"
67400,1,1,1,2,7,13,1,1,1,"2024-10-23 13:25:22.865932","20000.00"
67404,1,1,1,2,7,14,4,8,8,"2025-01-20 03:25:17.405437","5000.00"
67406,1,1,1,2,7,14,2,8,8,"2024-10-09 19:19:16.121776","70000.00"
67407,1,1,1,2,7,14,1,8,8,"2024-10-30 09:26:02.018657","20000.00"
67412,1,1,1,2,8,15,3,8,8,"2024-12-14 08:36:37.173395","40000.00"
67413,1,1,1,2,8,15,2,8,8,"2024-10-05 17:29:45.268395","42000.00"
67414,1,1,1,2,8,15,1,8,8,"2024-10-10 14:57:02.570592","20000.00"
67419,1,1,1,2,8,16,3,4,4,"2024-11-28 17:30:44.668798","40000.00"
67420,1,1,1,2,8,16,2,4,4,"2025-02-07 10:10:37.502233","42000.00"
67421,1,1,1,2,8,16,1,4,4,"2024-10-04 06:14:58.031586","20000.00"
67427,1,1,1,2,9,17,2,5,5,"2025-05-14 05:00:21.392614","42000.00"
67428,1,1,1,2,9,17,1,5,5,"2024-10-22 00:17:11.689858","20000.00"
67434,1,1,1,2,9,18,2,2,2,"2025-06-05 12:13:01.524782","42000.00"
67435,1,1,1,2,9,18,1,2,2,"2024-10-15 18:05:31.202893","20000.00"
67440,1,1,1,2,10,19,3,2,2,"2025-06-03 09:08:28.73609","50000.00"
67441,1,1,1,2,10,19,2,2,2,"2024-10-24 15:56:50.742271","42000.00"
67442,1,1,1,2,10,19,1,2,2,"2024-10-21 22:42:47.248121","20000.00"
67447,1,1,1,2,10,20,3,9,9,"2025-01-11 03:48:18.671952","50000.00"
67448,1,1,1,2,10,20,2,9,9,"2024-11-08 22:35:20.61172","42000.00"
67449,1,1,1,2,10,20,1,9,9,"2024-10-04 05:14:18.307111","20000.00"
67453,1,1,1,3,11,21,4,6,6,"2025-01-10 02:06:26.572114","5000.00"
67455,1,1,1,3,11,21,2,6,6,"2025-01-07 13:09:55.115258","70000.00"
67456,1,1,1,3,11,21,1,6,6,"2024-10-18 23:45:18.172188","20000.00"
67460,1,1,1,3,11,22,4,1,1,"2025-04-15 19:52:22.480446","5000.00"
67462,1,1,1,3,11,22,2,1,1,"2025-03-01 14:55:21.053103","42000.00"
67463,1,1,1,3,11,22,1,1,1,"2024-10-08 03:33:46.029928","20000.00"
67469,1,1,1,3,12,23,2,8,8,"2024-12-20 02:52:49.857773","70000.00"
67470,1,1,1,3,12,23,1,8,8,"2024-10-23 08:32:14.184662","20000.00"
67476,1,1,1,3,12,24,2,8,8,"2025-06-01 21:17:09.750593","70000.00"
67477,1,1,1,3,12,24,1,8,8,"2024-10-08 03:18:24.403346","20000.00"
67481,1,1,1,3,13,25,4,7,7,"2025-04-06 09:32:20.021886","5000.00"
67483,1,1,1,3,13,25,2,7,7,"2025-02-12 01:15:30.923921","42000.00"
67484,1,1,1,3,13,25,1,7,7,"2024-10-30 11:32:43.798566","20000.00"
67488,1,1,1,3,13,26,4,5,5,"2025-04-01 20:47:07.331509","5000.00"
67490,1,1,1,3,13,26,2,5,5,"2025-02-08 18:57:48.735994","42000.00"
67491,1,1,1,3,13,26,1,5,5,"2024-10-05 07:38:53.02631","20000.00"
67495,1,1,1,3,14,27,4,10,10,"2025-04-16 15:28:02.565929","5000.00"
67497,1,1,1,3,14,27,2,10,10,"2025-02-18 15:59:51.088201","70000.00"
67498,1,1,1,3,14,27,1,10,10,"2024-10-19 19:31:28.330691","20000.00"
67502,1,1,1,3,14,28,4,2,2,"2025-02-24 11:10:51.809279","5000.00"
67504,1,1,1,3,14,28,2,2,2,"2025-02-27 03:45:08.715261","42000.00"
67505,1,1,1,3,14,28,1,2,2,"2024-10-22 03:21:57.139238","20000.00"
67507,1,1,1,3,15,29,6,9,9,"2025-05-16 18:14:50.174161","3000.00"
67511,1,1,1,3,15,29,2,9,9,"2025-03-30 00:44:45.216677","42000.00"
67512,1,1,1,3,15,29,1,9,9,"2024-10-23 03:36:52.31497","20000.00"
67514,1,1,1,3,15,30,6,8,8,"2024-12-03 08:59:20.41174","3000.00"
67518,1,1,1,3,15,30,2,8,8,"2025-01-06 11:38:22.298352","70000.00"
67519,1,1,1,3,15,30,1,8,8,"2024-10-17 17:59:11.538629","20000.00"
67524,1,1,1,4,16,31,3,4,4,"2025-06-22 18:41:08.848867","40000.00"
67525,1,1,1,4,16,31,2,4,4,"2025-06-20 09:10:13.450785","70000.00"
67526,1,1,1,4,16,31,1,4,4,"2024-10-10 03:06:47.018692","20000.00"
67531,1,1,1,4,16,32,3,10,10,"2025-04-30 05:52:14.605372","40000.00"
67532,1,1,1,4,16,32,2,10,10,"2025-02-24 22:30:42.046724","70000.00"
67533,1,1,1,4,16,32,1,10,10,"2024-10-27 17:11:59.849271","20000.00"
67537,1,1,1,4,17,33,4,9,9,"2024-10-04 21:15:18.794973","5000.00"
67539,1,1,1,4,17,33,2,9,9,"2025-04-21 19:34:58.689525","42000.00"
67540,1,1,1,4,17,33,1,9,9,"2024-10-01 21:28:19.151734","20000.00"
67544,1,1,1,4,17,34,4,1,1,"2025-01-27 11:36:00.975326","5000.00"
67546,1,1,1,4,17,34,2,1,1,"2025-02-11 19:49:28.765642","70000.00"
67547,1,1,1,4,17,34,1,1,1,"2024-10-24 11:40:36.641764","20000.00"
67550,1,1,1,4,18,35,5,8,8,"2025-02-18 17:35:48.488025","10000.00"
67551,1,1,1,4,18,35,4,8,8,"2025-05-31 10:14:39.011047","5000.00"
67552,1,1,1,4,18,35,3,8,8,"2025-02-27 09:01:09.928782","50000.00"
