"montant_frais_id","promotion_id","type_frais_id","montant"
1,1,1,"20000.00"
2,1,2,"80000.00"
3,1,4,"5000.00"
4,1,6,"3000.00"
5,2,1,"20000.00"
6,2,2,"80000.00"
7,2,3,"50000.00"
8,2,4,"5000.00"
9,2,5,"10000.00"
10,3,1,"20000.00"
11,3,2,"80000.00"
12,3,4,"5000.00"
13,4,1,"20000.00"
14,4,2,"100000.00"
15,4,3,"60000.00"
16,5,1,"25000.00"
17,5,2,"120000.00"
18,5,4,"5000.00"
19,6,1,"25000.00"
20,6,2,"120000.00"
21,6,3,"50000.00"
22,7,1,"20000.00"
23,7,2,"70000.00"
24,7,4,"5000.00"
25,8,1,"20000.00"
26,8,2,"70000.00"
27,8,3,"40000.00"
28,9,1,"20000.00"
29,9,2,"70000.00"
30,10,1,"20000.00"
31,10,2,"70000.00"
32,10,3,"50000.00"
33,11,1,"20000.00"
34,11,2,"70000.00"
35,11,4,"5000.00"
36,12,1,"20000.00"
37,12,2,"70000.00"
38,13,1,"20000.00"
39,13,2,"70000.00"
40,13,4,"5000.00"
41,14,1,"20000.00"
42,14,2,"70000.00"
43,14,4,"5000.00"
44,15,1,"20000.00"
45,15,2,"70000.00"
46,15,6,"3000.00"
47,16,1,"20000.00"
48,16,2,"70000.00"
49,16,3,"40000.00"
50,17,1,"20000.00"
51,17,2,"70000.00"
52,17,4,"5000.00"
53,18,1,"30000.00"
54,18,2,"150000.00"
55,18,3,"50000.00"
56,18,4,"5000.00"
57,18,5,"10000.00"
58,19,1,"20000.00"
59,19,2,"80000.00"
60,19,4,"5000.00"
61,19,6,"3000.00"
62,20,1,"20000.00"
63,20,2,"90000.00"
64,20,4,"5000.00"
65,21,1,"20000.00"
66,21,2,"80000.00"
67,21,4,"5000.00"
68,22,1,"20000.00"
69,22,2,"80000.00"
70,22,3,"50000.00"
71,23,1,"20000.00"
72,23,2,"80000.00"
73,23,4,"5000.00"
74,24,1,"20000.00"
75,24,2,"100000.00"
76,24,3,"60000.00"
77,25,1,"25000.00"
78,25,2,"120000.00"
79,25,4,"5000.00"
80,26,1,"25000.00"
81,26,2,"120000.00"
82,26,3,"50000.00"
83,27,1,"20000.00"
84,27,2,"70000.00"
85,27,4,"5000.00"
86,28,1,"20000.00"
87,28,2,"70000.00"
88,28,3,"40000.00"
89,29,1,"20000.00"
90,29,2,"70000.00"
91,29,4,"5000.00"
92,30,1,"20000.00"
93,30,2,"70000.00"
94,30,3,"50000.00"
95,31,1,"20000.00"
96,31,2,"70000.00"
97,31,4,"5000.00"
98,32,1,"20000.00"
99,32,2,"70000.00"
100,32,3,"50000.00"
101,33,1,"20000.00"
102,33,2,"70000.00"
103,33,4,"5000.00"
104,34,1,"20000.00"
105,34,2,"70000.00"
106,34,3,"40000.00"
107,35,1,"20000.00"
108,35,2,"70000.00"
109,35,4,"5000.00"
110,36,1,"20000.00"
111,36,2,"70000.00"
112,36,3,"40000.00"
113,37,1,"20000.00"
114,37,2,"70000.00"
115,37,4,"5000.00"
116,38,1,"20000.00"
117,38,2,"70000.00"
118,38,6,"3000.00"
119,39,1,"20000.00"
120,39,2,"70000.00"
121,39,3,"40000.00"
122,40,1,"20000.00"
123,40,2,"90000.00"
124,40,4,"5000.00"
125,41,1,"20000.00"
126,41,2,"70000.00"
127,41,4,"5000.00"
128,42,1,"20000.00"
129,42,2,"70000.00"
130,42,3,"50000.00"
131,43,1,"20000.00"
132,43,2,"70000.00"
133,43,4,"5000.00"
134,44,1,"20000.00"
135,44,2,"100000.00"
136,44,3,"60000.00"
137,45,1,"25000.00"
138,45,2,"120000.00"
139,45,4,"5000.00"
140,46,1,"20000.00"
141,46,2,"70000.00"
142,46,3,"40000.00"
143,47,1,"20000.00"
144,47,2,"70000.00"
145,47,4,"5000.00"
146,48,1,"20000.00"
147,48,2,"70000.00"
148,48,3,"50000.00"
149,49,1,"20000.00"
150,49,2,"70000.00"
151,101,1,"20000.00"
152,101,2,"80000.00"
153,101,4,"5000.00"
154,102,1,"20000.00"
155,102,2,"80000.00"
156,102,4,"5000.00"
157,103,1,"20000.00"
158,103,2,"80000.00"
159,103,4,"5000.00"
160,104,1,"20000.00"
161,104,2,"80000.00"
162,104,4,"5000.00"
163,105,1,"20000.00"
164,105,2,"80000.00"
165,105,4,"5000.00"
166,106,1,"20000.00"
167,106,2,"80000.00"
168,106,4,"5000.00"
169,107,1,"20000.00"
170,107,2,"70000.00"
171,107,4,"5000.00"
172,108,1,"20000.00"
173,108,2,"70000.00"
174,108,4,"5000.00"
175,109,1,"20000.00"
176,109,2,"70000.00"
177,109,4,"5000.00"
178,110,1,"20000.00"
179,110,2,"70000.00"
180,110,4,"5000.00"
181,111,1,"20000.00"
182,111,2,"70000.00"
183,111,4,"5000.00"
184,112,1,"20000.00"
185,112,2,"70000.00"
186,112,4,"5000.00"
187,113,1,"25000.00"
188,113,2,"120000.00"
189,113,4,"5000.00"
190,114,1,"25000.00"
