transaction_id,date,region_id,prefecture_id,agence_id,produit_id,quantite,montant_total
1,10/22/2023,2,40,40,16,3,98.22
2,1/15/2023,2,1,1,12,4,267.39
3,12/19/2023,2,24,24,1,5,977.74
4,2/6/2023,2,17,17,15,5,782.29
5,8/5/2022,5,13,13,14,5,795.41
6,6/12/2023,5,6,6,5,1,62.22
7,12/19/2021,4,33,33,8,5,476.01
8,10/5/2024,2,7,7,1,1,167.5
9,12/27/2021,1,11,11,1,2,354.49
10,11/23/2021,2,1,1,12,4,280.65
11,11/9/2024,5,6,6,14,3,646.03
12,6/4/2023,3,26,26,15,1,119.14
13,9/11/2022,5,6,6,16,1,30.36
14,2/12/2025,1,31,31,10,5,196.24
15,9/25/2023,2,24,24,4,1,163.33
16,7/18/2025,2,25,25,6,1,192.59
17,12/17/2022,3,16,16,7,3,586.44
18,4/24/2024,2,24,24,12,5,308.48
19,12/14/2023,3,16,16,3,1,108.09
20,8/30/2024,3,16,16,2,5,361.1
21,12/31/2024,2,24,24,8,2,199.37
22,6/24/2023,2,8,8,17,4,337.14
23,12/22/2021,2,39,39,7,4,716.55
24,2/4/2023,2,37,37,7,4,729.14
25,4/11/2024,2,1,1,4,5,820.67
26,12/12/2023,2,39,39,18,1,24.42
27,11/2/2024,1,34,34,17,1,84.94
28,1/29/2022,2,39,39,5,2,145.58
29,11/19/2021,5,13,13,15,2,253.03
30,8/5/2022,2,1,1,9,4,372.72
31,9/15/2022,2,25,25,11,5,1003.56
32,7/2/2023,5,6,6,5,3,181.11
33,9/1/2023,2,17,17,5,1,83.97
34,10/2/2024,2,8,8,13,4,608.59
35,12/2/2024,2,17,17,12,5,256.84
36,6/10/2023,2,25,25,12,4,195.12
37,11/1/2024,1,35,35,6,5,782
38,5/31/2025,2,24,24,3,3,259.51
39,3/30/2023,3,18,18,5,1,75.93
40,12/8/2022,2,17,17,13,2,369.44
41,8/29/2025,5,13,13,15,4,515.52
42,12/24/2022,2,40,40,10,1,49.79
43,4/13/2024,2,25,25,1,3,638.7
44,1/23/2023,2,1,1,15,4,601.02
45,3/23/2022,2,25,25,5,3,232.42
46,5/9/2022,2,8,8,16,3,74.2
47,9/22/2023,5,21,21,2,5,443.9
48,12/30/2023,2,40,40,9,2,168.67
49,6/29/2025,2,37,37,18,1,25.6
50,5/7/2024,3,28,28,3,3,274.18
51,4/19/2025,5,15,15,15,4,546.7
52,5/8/2022,3,38,38,7,3,609.62
53,7/11/2024,2,7,7,4,1,124.28
54,5/20/2023,4,33,33,17,2,134.52
55,4/26/2023,2,7,7,8,5,539.61
56,5/2/2024,2,1,1,18,3,87.64
57,1/20/2025,1,32,32,10,1,44
58,2/11/2024,2,39,39,10,3,123.07
59,8/19/2023,2,40,40,15,2,291.64
60,1/31/2023,5,10,10,8,2,217.84
61,11/4/2022,4,27,27,13,3,436.28
62,5/10/2025,2,8,8,6,3,597.54
63,3/18/2022,5,13,13,2,2,195.45
64,1/4/2022,1,11,11,10,3,124.55
65,2/17/2023,5,6,6,5,1,82.42
66,6/5/2024,2,24,24,2,2,160.78
67,1/15/2023,2,25,25,7,5,910.54
68,8/2/2023,2,1,1,17,1,99.95
69,9/27/2023,5,6,6,15,2,216.02
70,11/20/2024,2,24,24,12,1,66.97
71,1/13/2023,5,15,15,8,5,555.57
72,11/30/2023,2,25,25,17,5,491.1
73,6/27/2023,1,11,11,13,1,157.42
74,1/12/2023,2,25,25,1,5,874.59
75,2/7/2022,2,40,40,14,2,375.01
76,2/2/2024,5,13,13,7,3,501.92
77,10/12/2023,1,11,11,15,3,431.16
78,10/22/2021,5,10,10,17,3,284.21
79,6/6/2022,2,1,1,18,4,87.68
80,11/14/2021,2,25,25,7,4,766.4
81,4/16/2024,2,25,25,2,3,252.53
82,7/6/2023,2,25,25,12,1,69.92
83,3/22/2023,2,40,40,3,2,199.77
84,7/16/2024,2,7,7,3,4,417.18
85,8/20/2024,2,24,24,4,2,264.62
86,12/28/2024,4,23,23,2,1,79.77
87,9/1/2023,4,33,33,9,2,149.89
88,6/7/2024,2,37,37,14,3,501.69
89,10/13/2021,5,15,15,11,2,380.59
90,4/4/2025,2,24,24,14,1,171.97
91,11/7/2024,2,40,40,3,3,253.29
92,3/12/2024,2,8,8,14,1,145.42
93,8/30/2022,2,39,39,6,5,960.61
94,2/28/2023,5,21,21,10,2,83.78
95,12/5/2024,4,12,12,5,4,247.82
96,9/6/2022,2,7,7,17,2,197.81
97,12/31/2022,2,17,17,9,4,267.69
98,7/23/2024,2,39,39,18,3,69.78
99,9/8/2022,2,25,25,2,4,339.28
100,10/12/2021,1,31,31,10,2,94.56
101,6/20/2022,2,40,40,16,1,27.4
102,4/1/2025,2,40,40,11,4,646.36
103,2/9/2023,2,25,25,1,4,879.41
104,8/21/2025,5,13,13,9,3,192.95
105,10/30/2024,2,1,1,1,2,301.84
106,2/16/2023,1,35,35,8,3,298.67
107,12/27/2024,2,25,25,11,3,420.65
108,6/12/2025,2,8,8,8,5,483.83
109,10/17/2023,2,1,1,2,3,241.51
110,5/28/2023,2,1,1,5,4,297.61
111,9/15/2022,2,37,37,4,5,754.26
112,2/10/2025,2,24,24,18,2,59.76
113,10/17/2023,5,10,10,3,3,234.82
114,1/15/2025,2,7,7,17,3,206.44
