"ID_DEVIS","CD_PRESTATION","NB_QUANTITE","NB_PRIX_HT","NB_PRIX_TTC"
"DE006226","PS0154","14","699","699"
"DE010468","PS0140","9","4874","4874"
"DE010404","PS0073","17","1367","1435.35"
"DE009178","PS0195","8","2296","2296"
"DE007555","PS0176","7","1902","1902"
"DE006215","PS0178","2","2534","2660.7"
"DE000660","PS0179","7","3886","4274.6"
"DE001183","PS0053","14","1852","2037.2"
"DE009349","PS0074","9","1493","1493"
"DE004523","PS0162","8","2580","2838"
"DE008154","PS0081","13","3916","4307.6"
"DE003593","PS0132","6","3369","4042.8"
"DE008395","PS0097","3","3905","4686"
"DE007305","PS0122","1","1558","1635.9"
"DE004935","PS0150","11","3275","3438.75"
"DE002163","PS0002","9","1184","1302.4"
"DE007884","PS0130","9","2449","2693.9"
"DE000233","PS0017","7","3898","3898"
"DE002756","PS0021","5","1716","1801.8"
"DE010801","PS0073","14","1367","1435.35"
"DE010458","PS0048","3","2078","2493.6"
"DE004483","PS0101","7","4494","5392.8"
"DE000250","PS0071","11","1285","1349.25"
"DE009546","PS0065","11","3011","3011"
"DE000828","PS0060","17","2474","2968.8"
"DE004041","PS0059","9","4993","5242.65"
"DE003872","PS0057","13","2855","3140.5"
"DE002053","PS0093","6","2999","3148.95"
"DE001308","PS0106","6","2784","3340.8"
"DE000959","PS0086","12","4872","5846.4"
"DE009876","PS0129","9","548","575.4"
"DE002279","PS0190","14","822","863.1"
"DE003267","PS0148","12","3503","3678.15"
"DE006497","PS0137","16","2907","3052.35"
"DE010238","PS0114","8","3975","4372.5"
"DE006186","PS0029","5","4104","4309.2"
"DE004988","PS0189","15","1018","1018"
"DE008575","PS0004","14","4618","5541.6"
"DE006679","PS0182","17","4712","4947.6"
"DE009794","PS0021","2","1716","1801.8"
"DE000064","PS0079","10","1943","1943"
"DE008666","PS0090","4","2587","3104.4"
"DE009403","PS0078","15","3929","3929"
"DE000110","PS0056","19","3253","3578.3"
"DE010618","PS0172","11","583","583"
"DE004371","PS0020","13","4856","5341.6"
"DE006682","PS0171","7","1863","1956.15"
"DE009861","PS0027","4","1108","1329.6"
"DE005049","PS0006","13","2045","2249.5"
"DE002538","PS0164","8","1809","1809"
"DE001351","PS0178","6","2534","2660.7"
"DE009549","PS0021","2","1716","1801.8"
"DE003499","PS0115","2","4570","5027"
"DE006446","PS0144","5","613","613"
"DE007056","PS0133","6","1869","2242.8"
"DE000988","PS0102","7","1322","1388.1"
"DE002323","PS0015","19","4308","4738.8"
"DE003768","PS0025","18","4960","5208"
"DE009855","PS0184","20","1840","2208"
"DE009011","PS0038","13","3432","3432"
"DE007778","PS0160","6","1396","1535.6"
"DE008108","PS0046","17","4813","5775.6"
"DE007935","PS0031","19","3309","3474.45"
"DE001028","PS0182","2","4712","4947.6"
"DE004013","PS0090","4","2587","3104.4"
"DE003467","PS0128","13","1185","1244.25"
"DE005602","PS0049","5","2162","2378.2"
"DE004542","PS0114","19","3975","4372.5"
"DE000655","PS0078","19","3929","3929"
"DE010803","PS0200","2","2860","3146"
"DE010979","PS0043","3","1449","1521.45"
"DE010667","PS0038","16","3432","3432"
"DE001682","PS0094","4","2548","2802.8"
"DE007500","PS0101","3","4494","5392.8"
"DE008690","PS0075","3","3943","4140.15"
"DE002804","PS0028","12","2114","2114"
"DE010081","PS0137","9","2907","3052.35"
"DE001866","PS0167","13","2672","2805.6"
"DE001337","PS0163","4","1728","1728"
"DE006565","PS0142","5","1183","1242.15"
"DE009500","PS0097","1","3905","4686"
"DE004072","PS0091","19","4055","4460.5"
"DE004843","PS0182","9","4712","4947.6"
"DE003132","PS0082","13","4269","4695.9"
"DE003934","PS0106","1","2784","3340.8"
"DE005433","PS0035","19","3653","4383.6"
"DE000459","PS0013","6","3409","3409"
"DE006082","PS0014","6","3304","3469.2"
"DE003683","PS0058","4","3666","4399.2"
"DE007780","PS0091","19","4055","4460.5"
"DE009672","PS0016","18","4420","5304"
"DE006907","PS0179","18","3886","4274.6"
"DE002155","PS0097","9","3905","4686"
"DE000691","PS0138","13","2809","2949.45"
"DE006628","PS0063","20","1391","1669.2"
"DE003349","PS0104","20","3030","3636"
"DE000826","PS0100","18","1714","2056.8"
"DE010297","PS0115","12","4570","5027"
"DE007975","PS0070","15","1148","1148"
"DE010213","PS0026","11","2578","3093.6"
"DE001147","PS0160","18","1396","1535.6"
"DE008531","PS0154","12","699","699"
"DE003562","PS0137","15","2907","3052.35"
"DE009910","PS0152","13","1962","1962"
"DE001419","PS0169","7","2716","3259.2"
"DE009993","PS0128","2","1185","1244.25"
"DE008199","PS0123","5","2137","2564.4"
"DE004552","PS0019","10","4815","4815"
"DE000720","PS0078","6","3929","3929"
