"ID_FACTURE","CD_PRESTATION","NB_QUANTITE_FACTURE","NB_PRIX_HT","NB_PRIX_TTC"
"FA019681","PS0145","7","2505","2755.5"
"FA004060","PS0060","12","2474","2968.8"
"FA014352","PS0012","11","3469","4162.8"
"FA017271","PS0085","11","871","914.55"
"FA012652","PS0010","17","4373","4591.65"
"FA017956","PS0023","1","3479","3479"
"FA014786","PS0065","1","3011","3011"
"FA019317","PS0132","9","3369","4042.8"
"FA011955","PS0123","10","2137","2564.4"
"FA009367","PS0098","1","3639","3820.95"
"FA008904","PS0167","16","2672","2805.6"
"FA004691","PS0142","17","1183","1242.15"
"FA011487","PS0094","1","2548","2802.8"
"FA004187","PS0077","3","4739","5212.9"
"FA010959","PS0137","19","2907","3052.35"
"FA006945","PS0178","12","2534","2660.7"
"FA016254","PS0010","19","4373","4591.65"
"FA018317","PS0030","1","3765","4141.5"
"FA016933","PS0098","6","3639","3820.95"
"FA005365","PS0180","10","2164","2272.2"
"FA012403","PS0120","16","4751","5701.2"
"FA019887","PS0051","4","1179","1414.8"
"FA006481","PS0115","14","4570","5027"
"FA001087","PS0024","15","4289","5146.8"
"FA018490","PS0089","14","3356","3356"
"FA000641","PS0151","1","4869","5355.9"
"FA015305","PS0142","1","1183","1242.15"
"FA021602","PS0011","11","4911","4911"
"FA004177","PS0038","13","3432","3432"
"FA015203","PS0110","18","2038","2241.8"
"FA009568","PS0149","9","1409","1409"
"FA010324","PS0049","10","2162","2378.2"
"FA025287","PS0064","16","2959","3254.9"
"FA021684","PS0139","5","3529","3705.45"
"FA019544","PS0098","16","3639","3820.95"
"FA013044","PS0132","17","3369","4042.8"
"FA010254","PS0116","17","4508","4958.8"
"FA010891","PS0148","13","3503","3678.15"
"FA015658","PS0054","14","798","877.8"
"FA006836","PS0114","10","3975","4372.5"
"FA013317","PS0060","1","2474","2968.8"
"FA005107","PS0031","9","3309","3474.45"
"FA016196","PS0086","16","4872","5846.4"
"FA010995","PS0096","5","2802","2942.1"
"FA009465","PS0128","9","1185","1244.25"
"FA010374","PS0058","17","3666","4399.2"
"FA019502","PS0187","19","3333","3499.65"
"FA022408","PS0157","5","596","596"
"FA020349","PS0182","14","4712","4947.6"
"FA023143","PS0148","15","3503","3678.15"
"FA005883","PS0102","3","1322","1388.1"
"FA020185","PS0168","2","2550","2677.5"
"FA018662","PS0075","9","3943","4140.15"
"FA017119","PS0026","1","2578","3093.6"
"FA012904","PS0156","4","1047","1151.7"
"FA019881","PS0004","12","4618","5541.6"
"FA017283","PS0152","13","1962","1962"
"FA022690","PS0017","11","3898","3898"
"FA004664","PS0119","6","831","914.1"
"FA021474","PS0026","4","2578","3093.6"
"FA004745","PS0065","2","3011","3011"
"FA023701","PS0198","13","3668","4401.6"
"FA020591","PS0055","10","3539","3539"
"FA007479","PS0026","14","2578","3093.6"
