"ID_REGLEMENT","ID_FACTURE","NB_MONTANT_REGLEMENT"
"RGLT00001","FA004504","48847.55"
"RGLT00002","FA010183","68383.35"
"RGLT00003","FA006886","86670"
"RGLT00004","FA024470","104979.15"
"RGLT00005","FA020539","28505"
"RGLT00006","FA022876","51828"
"RGLT00007","FA020277","4375.8"
"RGLT00008","FA013157","51559.2"
"RGLT00009","FA004362","80338.5"
"RGLT00010","FA016324","54316.8"
"RGLT00011","FA001176","16431.8"
"RGLT00012","FA000304","144542.75"
"RGLT00013","FA011736","94458"
"RGLT00014","FA022811","101602.7"
"RGLT00015","FA019846","111038.25"
"RGLT00016","FA020106","24848"
"RGLT00017","FA006604","178852"
"RGLT00018","FA006366","142829.25"
"RGLT00019","FA020924","144640.8"
"RGLT00020","FA007552","52556.4"
"RGLT00021","FA020609","71476.8"
"RGLT00022","FA010554","91200"
"RGLT00023","FA016114","32718"
"RGLT00024","FA007540","48201.3"
"RGLT00025","FA003232","39670.4"
"RGLT00026","FA003354","117925.8"
"RGLT00027","FA000467","48490.2"
"RGLT00028","FA019413","112708.35"
"RGLT00029","FA018415","26775"
"RGLT00030","FA019913","58143.75"
"RGLT00031","FA002993","99176"
"RGLT00032","FA013616","41818.95"
"RGLT00033","FA019824","10357.2"
"RGLT00034","FA025088","74550.25"
"RGLT00035","FA021829","129404.2"
"RGLT00036","FA016053","48196.5"
"RGLT00037","FA008979","7532"
"RGLT00038","FA011457","26950.7"
"RGLT00039","FA022957","54693.6"
"RGLT00040","FA005575","66206.7"
"RGLT00041","FA006388","123682.2"
"RGLT00042","FA005876","55566.3"
"RGLT00043","FA007272","20619.9"
"RGLT00044","FA008781","29087.7"
"RGLT00045","FA014998","106742.1"
"RGLT00046","FA003914","97183.2"
"RGLT00047","FA000181","98940.6"
"RGLT00048","FA018564","65939.3"
"RGLT00049","FA010267","21469.8"
"RGLT00050","FA021395","41154.3"
"RGLT00051","FA000637","48142.5"
"RGLT00052","FA016853","54770.25"
"RGLT00053","FA017736","35158"
"RGLT00054","FA001513","22571.85"
"RGLT00055","FA010682","105390.9"
"RGLT00056","FA002787","19849.2"
"RGLT00057","FA010387","10210.2"
"RGLT00058","FA024646","19908"
"RGLT00059","FA021442","42688.8"
"RGLT00060","FA019362","106298"
"RGLT00061","FA013217","75922"
"RGLT00062","FA004606","110897.1"
"RGLT00063","FA023969","27810"
"RGLT00064","FA002596","75614"
"RGLT00065","FA005068","101752.7"
"RGLT00066","FA022281","22632"
"RGLT00067","FA009263","125283.2"
"RGLT00068","FA019935","50158.5"
"RGLT00069","FA025387","38706.8"
"RGLT00070","FA017244","14976.6"
"RGLT00071","FA020911","25404.75"
"RGLT00072","FA006216","101360.8"
"RGLT00073","FA005511","31399.2"
"RGLT00074","FA013988","67105.5"
"RGLT00075","FA018372","15687"
"RGLT00076","FA008095","193421"
"RGLT00077","FA018319","118764"
"RGLT00078","FA003739","70451.5"
"RGLT00079","FA016055","8770"
"RGLT00080","FA016627","56539.2"
"RGLT00081","FA023586","2332"
"RGLT00082","FA025223","16354.8"
"RGLT00083","FA000108","43569.6"
"RGLT00084","FA017486","147058.2"
"RGLT00085","FA007968","58665.6"
"RGLT00086","FA024373","216517.4"
"RGLT00087","FA022654","112591.4"
"RGLT00088","FA013104","70380.6"
"RGLT00089","FA003262","47312"
"RGLT00090","FA009671","8866"
"RGLT00091","FA011754","36747"
"RGLT00092","FA008081","79654.25"
"RGLT00093","FA001790","90926"
"RGLT00094","FA019125","70156.8"
"RGLT00095","FA016165","122038.85"
"RGLT00096","FA010298","18070.8"
"RGLT00097","FA018157","17807.8"
"RGLT00098","FA002471","30643.2"
"RGLT00099","FA008677","43852.7"
"RGLT00100","FA003869","1421"
"RGLT00101","FA016454","95600.4"
"RGLT00102","FA017474","119070"
"RGLT00103","FA024813","66604.8"
"RGLT00104","FA016219","34606"
"RGLT00105","FA019799","21423.6"
"RGLT00106","FA021518","31595.4"
"RGLT00107","FA001935","22428"
"RGLT00108","FA005692","41664"
"RGLT00109","FA012283","27231"
"RGLT00110","FA000860","56274.8"
"RGLT00111","FA002525","31197.6"
"RGLT00112","FA025272","17081"
"RGLT00113","FA009494","54515.7"
"RGLT00114","FA017468","21655.2"
"RGLT00115","FA006564","54458.4"
"RGLT00116","FA008175","95974.3"
"RGLT00117","FA019213","26174.4"
"RGLT00118","FA001579","18045.3"
"RGLT00119","FA022579","100336.3"
"RGLT00120","FA002548","57000"
