"ID_DEVIS","DT_DEVIS","ID_CLIENT"
"DE000001","2024-03-16","GA-147251408"
"DE000002","2024-01-03","TC-2147536"
"DE000003","2023-01-11","MG-1820528"
"DE000004","2024-06-02","RB-979595"
"DE000005","2023-06-15","MH-8115110"
"DE000006","2023-05-23","BC-1112545"
"DE000007","2024-01-03","AS-10045117"
"DE000008","2023-12-01","QJ-1925592"
"DE000009","2024-01-09","KM-1637591"
"DE000010","2024-03-06","PW-19030113"
"DE000011","2023-08-27","GH-1448582"
"DE000012","2023-03-13","DR-12880102"
"DE000013","2023-01-14","BP-110501406"
"DE000014","2023-07-20","TB-212507"
"DE000015","2023-09-21","CC-1261045"
"DE000016","2024-01-05","LB-167957"
"DE000017","2023-03-27","CY-1274564"
"DE000018","2024-04-10","PR-18880139"
"DE000019","2023-08-02","IG-5085111"
"DE000020","2023-09-22","TB-2152059"
"DE000021","2023-05-30","NB-185805"
"DE000022","2023-02-10","LO-17170120"
"DE000023","2023-02-23","MC-1810059"
"DE000024","2023-10-11","JA-1597091"
"DE000025","2023-03-18","GM-1445527"
"DE000026","2024-03-24","CM-19359"
"DE000027","2023-05-09","NB-185805"
"DE000028","2023-06-07","DG-1330027"
"DE000029","2024-07-06","MT-1807059"
"DE000030","2023-10-03","VP-21730144"
"DE000031","2023-11-15","RW-196901408"
"DE000032","2023-12-15","BF-1117045"
"DE000033","2023-07-10","DK-1337598"
"DE000034","2023-01-04","JK-157301406"
"DE000035","2023-07-25","AH-1069045"
"DE000036","2023-01-18","TB-2128031"
"DE000037","2024-07-14","DB-130601406"
"DE000038","2024-03-25","PL-1892593"
"DE000039","2023-04-16","SS-2014082"
"DE000040","2024-04-27","SH-99759"
"DE000041","2024-07-01","JE-15610144"
"DE000042","2023-02-24","KM-6375103"
"DE000043","2024-05-20","BF-110201408"
"DE000044","2023-03-29","JH-1543078"
"DE000045","2024-01-19","FW-143951404"
"DE000046","2024-03-26","SC-20050120"
"DE000047","2023-12-12","HP-1481582"
"DE000048","2023-03-11","ML-7755117"
"DE000049","2023-08-08","JF-15355139"
"DE000050","2024-06-30","GH-1442555"
"DE000051","2024-02-17","LR-1691582"
"DE000052","2024-01-25","JF-1549058"
"DE000053","2023-04-11","PP-1895536"
"DE000054","2023-02-10","PA-1906078"
"DE000055","2023-12-20","ML-1741036"
"DE000056","2023-03-30","RD-199001404"
"DE000057","2024-04-03","PK-190757"
"DE000058","2024-04-10","BP-1129016"
"DE000059","2024-07-03","AH-100751404"
"DE000060","2023-02-24","EB-1411097"
"DE000061","2023-08-10","GT-1463548"
"DE000062","2023-09-27","KL-166451406"
"DE000063","2024-05-10","EH-141851406"
"DE000064","2024-04-19","JE-1574555"
"DE000065","2024-04-01","YC-2189514"
"DE000066","2024-04-09","LS-720032"
"DE000067","2024-07-12","LF-171857"
"DE000068","2024-06-09","CM-1830107"
"DE000069","2024-01-03","JL-15175130"
"DE000070","2023-01-18","BS-180060"
"DE000071","2023-09-20","SV-2036582"
"DE000072","2023-06-21","CL-256586"
"DE000073","2024-05-08","KN-1639055"
"DE000074","2023-05-10","IG-1508536"
"DE000075","2023-01-16","EK-1379559"
"DE000076","2024-06-19","GR-1456059"
"DE000077","2024-03-29","LC-1693051"
"DE000078","2023-06-13","BM-1165027"
"DE000079","2023-10-03","AM-1036018"
"DE000080","2024-04-07","BS-159030"
"DE000081","2024-03-07","CC-1210058"
"DE000082","2023-09-17","CS-1249092"
"DE000083","2023-11-10","DB-13060144"
"DE000084","2023-04-17","TS-2165588"
"DE000085","2023-01-21","TS-1150568"
"DE000086","2024-05-29","AF-108701408"
"DE000087","2023-11-04","CR-1258058"
"DE000088","2023-10-23","DW-1354078"
"DE000089","2024-06-28","SA-2083082"
"DE000090","2023-05-25","AR-10825139"
"DE000091","2023-05-18","EH-418561"
"DE000092","2023-03-30","VP-217301402"
"DE000093","2024-03-27","JE-1561058"
"DE000094","2024-05-12","SD-1048535"
"DE000095","2023-11-12","PC-19000139"
"DE000096","2024-05-02","PO-1886545"
"DE000097","2023-02-02","PM-9135117"
"DE000098","2023-03-28","LC-1714064"
"DE000099","2023-10-11","TB-212507"
"DE000100","2023-05-16","MF-1766564"
"DE000101","2024-03-30","LS-17245102"
"DE000102","2024-02-27","EJ-141551404"
"DE000103","2024-06-06","LS-1720064"
"DE000104","2023-11-30","AR-1051051"
"DE000105","2024-05-14","AJ-1094527"
"DE000106","2023-04-20","JM-565574"
"DE000107","2024-02-26","EH-14125144"
"DE000108","2023-10-02","CH-1207021"
"DE000109","2023-11-11","DG-330095"
"DE000110","2023-05-01","BS-1166514"
"DE000111","2023-01-11","KT-6480135"
"DE000112","2023-06-26","DB-1336045"
"DE000113","2024-03-12","CL-125651406"
"DE000114","2024-05-20","SH-9975112"
"DE000115","2023-11-10","DJ-3630108"
"DE000116","2024-06-28","LP-1709545"
"DE000117","2024-03-30","MF-182501402"
"DE000118","2024-01-23","CC-2145117"
"DE000119","2023-04-13","JL-15130113"
"DE000120","2024-06-08","EM-1420048"
"DE000121","2023-07-18","KL-166451406"
"DE000122","2023-07-22","KW-1643545"
"DE000123","2023-08-27","TB-212801408"
"DE000124","2023-09-16","PS-18970118"
"DE000125","2024-01-11","SA-2083048"
"DE000126","2024-03-09","DB-13405144"
"DE000127","2023-12-31","DP-3390110"
"DE000128","2024-01-14","TZ-11580135"
"DE000129","2024-04-06","CV-1280566"
"DE000130","2023-11-19","JM-155357"
"DE000131","2024-05-05","SW-10455129"
"DE000132","2023-06-08","TS-213701404"
"DE000133","2024-03-07","JB-604533"
"DE000134","2024-04-14","BF-1097582"
"DE000135","2023-02-02","CV-1229516"
"DE000136","2023-11-23","BP-1129036"
"DE000137","2023-11-20","KW-1643598"
"DE000138","2023-06-17","TW-210257"
"DE000139","2024-03-24","DB-321033"
"DE000140","2023-03-14","AJ-94538"
"DE000141","2023-07-05","CR-1258064"
"DE000142","2023-04-09","RA-9285117"
"DE000143","2023-10-09","GG-14650113"
"DE000144","2023-10-17","CS-12460139"
"DE000145","2024-05-08","MP-1796564"
"DE000146","2024-03-31","CR-1273011"
"DE000147","2024-06-12","MD-173501406"
"DE000148","2023-06-12","CC-1214596"
"DE000149","2024-03-20","VM-21835139"
"DE000150","2024-04-24","TS-2161091"
"DE000151","2024-05-17","NP-183251404"
"DE000152","2024-05-24","EH-1400558"
"DE000153","2024-04-06","AS-102401408"
"DE000154","2023-07-14","CC-1267059"
"DE000155","2023-11-06","JM-1565527"
"DE000156","2023-11-04","JK-15625120"
"DE000157","2023-11-30","BS-1180026"
"DE000158","2023-10-14","AS-1004582"
"DE000159","2023-04-09","AS-100451408"
"DE000160","2023-05-03","EH-399095"
"DE000161","2023-03-23","SU-20665120"
"DE000162","2023-02-17","ST-1053086"
"DE000163","2024-04-06","NP-18685144"
"DE000164","2024-01-05","SP-20620102"
"DE000165","2023-01-28","PG-1882018"
"DE000166","2024-03-23","AG-10495102"
"DE000167","2023-04-09","DL-133301406"
"DE000168","2024-07-21","JO-1528027"
