"ID_FACTURE","DT_FACTURE","ID_CLIENT","ID_DEVIS"
"FA000001","2023-05-02","EH-399033","DE010404"
"FA000002","2023-09-15","SH-1039595","DE010404"
"FA000003","2024-04-20","PS-187601404","DE010404"
"FA000004","2023-05-31","CS-118457","DE010404"
"FA000005","2023-08-23","DH-367533","DE010404"
"FA000006","2023-06-07","AS-1022562","DE006215"
"FA000007","2023-03-06","CD-1198082","DE000660"
"FA000008","2024-01-24","JK-532569","DE001183"
"FA000009","2023-09-06","DC-1285051","DE009349"
"FA000010","2024-05-23","HG-1484591","DE004523"
"FA000011","2023-06-10","TS-1116030","DE010404"
"FA000012","2023-02-28","MJ-1774058","DE010404"
"FA000013","2023-07-05","JL-15175130","DE008395"
"FA000014","2024-05-11","BB-115458","DE007305"
"FA000015","2023-11-01","CD-1228058","DE010404"
"FA000016","2023-09-15","HE-4800108","DE002163"
"FA000017","2023-11-21","DV-134651406","DE007884"
"FA000018","2024-03-24","FW-1439512","DE000233"
"FA000019","2023-08-26","RW-9540117","DE010404"
"FA000020","2023-01-12","DB-1336039","DE010404"
"FA000021","2024-03-06","AM-1036011","DE010458"
"FA000022","2024-05-18","NF-1859536","DE004483"
"FA000023","2024-05-30","ML-17755130","DE000250"
"FA000024","2023-12-31","LA-167807","DE009546"
"FA000025","2023-11-04","TA-213857","DE010404"
"FA000026","2024-03-14","KC-1654045","DE004041"
"FA000027","2024-02-27","AM-10360113","DE003872"
"FA000028","2024-01-01","JH-1591082","DE010404"
"FA000029","2024-03-31","AF-87033","DE001308"
"FA000030","2023-01-21","CS-124907","DE010404"
"FA000031","2023-12-26","SW-1045560","DE009876"
"FA000032","2023-09-18","BP-1109545","DE002279"
"FA000033","2023-09-18","LH-1690082","DE010404"
"FA000034","2024-05-18","AP-109151408","DE006497"
"FA000035","2023-09-09","FM-1438064","DE010238"
"FA000036","2023-07-22","TM-21010139","DE006186"
"FA000037","2024-06-17","LC-169307","DE004988"
"FA000038","2024-07-04","BD-162061","DE008575"
"FA000039","2024-02-03","EL-1373555","DE006679"
"FA000040","2023-10-29","TM-21490139","DE009794"
"FA000041","2024-03-05","SW-2027548","DE010404"
"FA000042","2024-07-16","CA-1226592","DE008666"
"FA000043","2023-12-26","AJ-945137","DE009403"
"FA000044","2024-01-30","BS-1166514","DE000110"
"FA000045","2024-05-25","CS-1240031","DE010618"
"FA000046","2023-05-03","EM-3810129","DE010404"
"FA000047","2023-11-22","CM-1244566","DE010404"
"FA000048","2024-02-17","LA-16780102","DE010404"
"FA000049","2024-02-01","EM-4200122","DE005049"
"FA000050","2023-02-12","RF-1934528","DE010404"
"FA000051","2024-03-14","KT-164657","DE001351"
"FA000052","2024-02-25","EJ-14155130","DE009549"
"FA000053","2023-02-08","VD-11670116","DE003499"
"FA000054","2023-03-22","AA-104801408","DE010404"
"FA000055","2024-06-29","RD-972033","DE007056"
"FA000056","2023-11-07","CR-126257","DE010404"
"FA000057","2023-10-01","GM-4695110","DE002323"
"FA000058","2024-03-30","CC-12370143","DE003768"
"FA000059","2024-04-04","PO-1918011","DE009855"
"FA000060","2023-02-13","PC-8745137","DE010404"
"FA000061","2023-03-01","JC-15385139","DE010404"
"FA000062","2023-11-16","KL-166457","DE008108"
"FA000063","2023-10-29","NR-855086","DE007935"
"FA000064","2024-02-03","RM-193751404","DE001028"
"FA000065","2023-09-26","FA-1423027","DE010404"
"FA000066","2024-04-15","DK-133751402","DE003467"
"FA000067","2023-07-19","DK-1322527","DE010404"
"FA000068","2023-04-05","LS-169457","DE010404"
"FA000069","2024-01-18","KW-1643548","DE000655"
"FA000070","2023-06-23","RP-193901406","DE010404"
"FA000071","2023-06-11","NL-1831062","DE010404"
