"ID_REGLEMENT","DT_REGLEMENT","CD_TYPE_REGLEMENT"
"RGLT00001","2023-01-17","TR01"
"RGLT00002","2023-01-21","TR01"
"RGLT00003","2023-02-09","TR02"
"RGLT00004","2023-01-20","TR03"
"RGLT00005","2023-02-07","TR02"
"RGLT00006","2023-01-27","TR03"
"RGLT00007","2023-02-15","TR01"
"RGLT00008","2023-02-06","TR02"
"RGLT00009","2023-01-28","TR02"
"RGLT00010","2023-01-22","TR02"
"RGLT00011","2023-02-06","TR02"
"RGLT00012","2023-02-11","TR01"
"RGLT00013","2023-02-02","TR03"
"RGLT00014","2023-01-31","TR03"
"RGLT00015","2023-01-22","TR02"
"RGLT00016","2023-01-31","TR02"
"RGLT00017","2023-02-03","TR02"
"RGLT00018","2023-01-19","TR02"
"RGLT00019","2023-01-29","TR03"
"RGLT00020","2023-01-21","TR03"
"RGLT00021","2023-02-04","TR01"
"RGLT00022","2023-01-21","TR03"
"RGLT00023","2023-02-10","TR02"
"RGLT00024","2023-02-07","TR02"
"RGLT00025","2023-01-27","TR01"
"RGLT00026","2023-01-20","TR01"
"RGLT00027","2023-02-03","TR03"
"RGLT00028","2023-01-24","TR02"
"RGLT00029","2023-02-07","TR01"
"RGLT00030","2023-02-06","TR03"
"RGLT00031","2023-02-11","TR03"
"RGLT00032","2023-01-29","TR02"
"RGLT00033","2023-02-06","TR01"
"RGLT00034","2023-01-22","TR03"
"RGLT00035","2023-01-26","TR03"
"RGLT00036","2023-02-08","TR01"
"RGLT00037","2023-02-11","TR02"
"RGLT00038","2023-02-15","TR01"
"RGLT00039","2023-02-05","TR01"
"RGLT00040","2023-01-21","TR01"
"RGLT00041","2023-01-25","TR01"
"RGLT00042","2023-01-27","TR02"
"RGLT00043","2023-01-18","TR02"
"RGLT00044","2023-01-24","TR01"
"RGLT00045","2023-01-21","TR01"
"RGLT00046","2023-01-24","TR02"
"RGLT00047","2023-02-14","TR01"
"RGLT00048","2023-01-28","TR01"
"RGLT00049","2023-02-10","TR02"
"RGLT00050","2023-02-02","TR01"
"RGLT00051","2023-01-23","TR03"
"RGLT00052","2023-01-24","TR03"
"RGLT00053","2023-02-16","TR02"
"RGLT00054","2023-02-08","TR01"
"RGLT00055","2023-01-23","TR01"
"RGLT00056","2023-02-02","TR02"
"RGLT00057","2023-01-20","TR01"
"RGLT00058","2023-01-28","TR01"
"RGLT00059","2023-01-31","TR01"
"RGLT00060","2023-01-17","TR03"
"RGLT00061","2023-01-28","TR03"
"RGLT00062","2023-01-28","TR02"
"RGLT00063","2023-02-12","TR02"
"RGLT00064","2023-02-14","TR01"
"RGLT00065","2023-02-08","TR03"
"RGLT00066","2023-01-21","TR01"
"RGLT00067","2023-02-02","TR01"
"RGLT00068","2023-02-15","TR02"
"RGLT00069","2023-02-12","TR03"
"RGLT00070","2023-02-10","TR02"
"RGLT00071","2023-01-24","TR02"
"RGLT00072","2023-02-01","TR02"
"RGLT00073","2023-02-08","TR01"
"RGLT00074","2023-02-08","TR02"
"RGLT00075","2023-01-31","TR01"
"RGLT00076","2023-02-12","TR01"
"RGLT00077","2023-02-15","TR02"
"RGLT00078","2023-01-30","TR01"
"RGLT00079","2023-02-11","TR02"
"RGLT00080","2023-01-17","TR03"
"RGLT00081","2023-01-23","TR01"
"RGLT00082","2023-02-14","TR03"
"RGLT00083","2023-02-08","TR02"
"RGLT00084","2023-01-24","TR03"
"RGLT00085","2023-02-02","TR01"
"RGLT00086","2023-02-06","TR03"
"RGLT00087","2023-01-20","TR01"
"RGLT00088","2023-02-09","TR03"
"RGLT00089","2023-02-01","TR01"
"RGLT00090","2023-01-19","TR03"
"RGLT00091","2023-02-02","TR02"
"RGLT00092","2023-02-10","TR02"
"RGLT00093","2023-02-14","TR01"
"RGLT00094","2023-01-21","TR02"
"RGLT00095","2023-01-22","TR03"
"RGLT00096","2023-01-18","TR03"
"RGLT00097","2023-02-13","TR03"
"RGLT00098","2023-01-21","TR02"
"RGLT00099","2023-02-17","TR02"
"RGLT00100","2023-01-21","TR03"
"RGLT00101","2023-02-04","TR02"
"RGLT00102","2023-01-29","TR01"
"RGLT00103","2023-01-29","TR01"
"RGLT00104","2023-02-01","TR02"
"RGLT00105","2023-02-08","TR01"
"RGLT00106","2023-02-15","TR01"
"RGLT00107","2023-01-28","TR02"
"RGLT00108","2023-01-18","TR03"
"RGLT00109","2023-01-29","TR03"
"RGLT00110","2023-01-26","TR02"
"RGLT00111","2023-02-02","TR02"
"RGLT00112","2023-01-27","TR01"
"RGLT00113","2023-01-21","TR02"
"RGLT00114","2023-01-26","TR02"
"RGLT00115","2023-01-22","TR01"
"RGLT00116","2023-02-09","TR02"
"RGLT00117","2023-02-11","TR03"
"RGLT00118","2023-02-11","TR02"
"RGLT00119","2023-01-27","TR02"
"RGLT00120","2023-02-02","TR01"
"RGLT00121","2023-02-11","TR02"
"RGLT00122","2023-01-31","TR01"
"RGLT00123","2023-02-15","TR03"
"RGLT00124","2023-01-25","TR02"
"RGLT00125","2023-02-12","TR02"
"RGLT00126","2023-02-09","TR01"
"RGLT00127","2023-01-24","TR02"
"RGLT00128","2023-02-08","TR01"
"RGLT00129","2023-02-06","TR01"
"RGLT00130","2023-02-11","TR02"
"RGLT00131","2023-01-28","TR03"
"RGLT00132","2023-01-23","TR01"
"RGLT00133","2023-01-25","TR03"
"RGLT00134","2023-01-29","TR01"
"RGLT00135","2023-02-18","TR03"
"RGLT00136","2023-01-27","TR02"
"RGLT00137","2023-01-19","TR03"
"RGLT00138","2023-02-09","TR02"
"RGLT00139","2023-01-30","TR01"
"RGLT00140","2023-02-07","TR01"
"RGLT00141","2023-02-07","TR01"
"RGLT00142","2023-02-14","TR03"
"RGLT00143","2023-01-29","TR03"
"RGLT00144","2023-01-28","TR03"
"RGLT00145","2023-01-21","TR01"
"RGLT00146","2023-02-07","TR03"
"RGLT00147","2023-01-29","TR02"
"RGLT00148","2023-02-09","TR01"
"RGLT00149","2023-02-15","TR01"
"RGLT00150","2023-01-30","TR01"
"RGLT00151","2023-02-01","TR02"
"RGLT00152","2023-02-12","TR01"
"RGLT00153","2023-02-13","TR03"
"RGLT00154","2023-02-10","TR02"
"RGLT00155","2023-02-15","TR03"
"RGLT00156","2023-01-26","TR03"
"RGLT00157","2023-01-25","TR03"
"RGLT00158","2023-02-14","TR03"
"RGLT00159","2023-01-23","TR03"
"RGLT00160","2023-02-05","TR02"
"RGLT00161","2023-02-09","TR02"
"RGLT00162","2023-01-24","TR01"
"RGLT00163","2023-02-08","TR01"
"RGLT00164","2023-02-11","TR03"
"RGLT00165","2023-01-27","TR01"
"RGLT00166","2023-01-27","TR02"
"RGLT00167","2023-02-17","TR02"
"RGLT00168","2023-02-13","TR03"
"RGLT00169","2023-02-13","TR02"
"RGLT00170","2023-02-12","TR02"
"RGLT00171","2023-01-26","TR02"
"RGLT00172","2023-02-01","TR03"
"RGLT00173","2023-01-20","TR01"
"RGLT00174","2023-02-10","TR03"
"RGLT00175","2023-02-12","TR02"
"RGLT00176","2023-02-17","TR02"
"RGLT00177","2023-02-11","TR03"
"RGLT00178","2023-01-20","TR01"
"RGLT00179","2023-01-25","TR01"
"RGLT00180","2023-01-28","TR03"
"RGLT00181","2023-01-31","TR01"
"RGLT00182","2023-01-20","TR02"
"RGLT00183","2023-02-16","TR03"
"RGLT00184","2023-01-31","TR03"
"RGLT00185","2023-01-23","TR01"
"RGLT00186","2023-02-07","TR02"
"RGLT00187","2023-02-03","TR01"
"RGLT00188","2023-01-23","TR02"
"RGLT00189","2023-02-16","TR01"
"RGLT00190","2023-02-03","TR02"
"RGLT00191","2023-01-22","TR02"
"RGLT00192","2023-02-12","TR02"
"RGLT00193","2023-02-09","TR02"
"RGLT00194","2023-01-30","TR03"
"RGLT00195","2023-02-15","TR02"
"RGLT00196","2023-02-04","TR01"
"RGLT00197","2023-02-12","TR03"
"RGLT00198","2023-01-21","TR03"
"RGLT00199","2023-02-03","TR02"
"RGLT00200","2023-01-20","TR03"
"RGLT00201","2023-02-01","TR01"
"RGLT00202","2023-02-07","TR01"
"RGLT00203","2023-01-23","TR03"
"RGLT00204","2023-02-01","TR03"
"RGLT00205","2023-02-07","TR02"
"RGLT00206","2023-01-30","TR02"
"RGLT00207","2023-01-28","TR01"
"RGLT00208","2023-02-02","TR02"
"RGLT00209","2023-02-14","TR02"
"RGLT00210","2023-02-13","TR03"
"RGLT00211","2023-01-21","TR02"
"RGLT00212","2023-02-08","TR01"
"RGLT00213","2023-01-31","TR02"
"RGLT00214","2023-01-31","TR03"
"RGLT00215","2023-02-01","TR03"
"RGLT00216","2023-01-29","TR01"
"RGLT00217","2023-02-07","TR01"
"RGLT00218","2023-02-03","TR01"
"RGLT00219","2023-02-05","TR03"
"RGLT00220","2023-02-04","TR02"
"RGLT00221","2023-02-09","TR01"
"RGLT00222","2023-01-22","TR02"
"RGLT00223","2023-02-18","TR01"
"RGLT00224","2023-02-09","TR01"
"RGLT00225","2023-02-11","TR02"
"RGLT00226","2023-02-01","TR01"
"RGLT00227","2023-02-17","TR02"
"RGLT00228","2023-02-11","TR02"
"RGLT00229","2023-01-28","TR01"
"RGLT00230","2023-01-25","TR02"
"RGLT00231","2023-02-06","TR03"
"RGLT00232","2023-02-15","TR01"
"RGLT00233","2023-02-09","TR03"
"RGLT00234","2023-02-06","TR01"
"RGLT00235","2023-02-16","TR03"
"RGLT00236","2023-02-05","TR03"
"RGLT00237","2023-02-07","TR01"
"RGLT00238","2023-01-26","TR02"
"RGLT00239","2023-02-12","TR01"
"RGLT00240","2023-02-10","TR03"
"RGLT00241","2023-02-20","TR02"
"RGLT00242","2023-01-23","TR02"
"RGLT00243","2023-02-11","TR01"
"RGLT00244","2023-01-26","TR03"
"RGLT00245","2023-02-08","TR03"
"RGLT00246","2023-02-10","TR02"
"RGLT00247","2023-02-13","TR03"
"RGLT00248","2023-01-26","TR03"
"RGLT00249","2023-02-07","TR02"
"RGLT00250","2023-02-15","TR03"
"RGLT00251","2023-01-23","TR01"
"RGLT00252","2023-01-23","TR01"
"RGLT00253","2023-02-19","TR03"
"RGLT00254","2023-02-08","TR01"
"RGLT00255","2023-02-06","TR01"
"RGLT00256","2023-02-11","TR01"
"RGLT00257","2023-02-02","TR02"
"RGLT00258","2023-02-07","TR03"
"RGLT00259","2023-02-01","TR01"
"RGLT00260","2023-01-31","TR03"
"RGLT00261","2023-02-21","TR03"
"RGLT00262","2023-02-05","TR03"
"RGLT00263","2023-02-07","TR02"
"RGLT00264","2023-02-08","TR03"
"RGLT00265","2023-02-17","TR01"
"RGLT00266","2023-02-06","TR03"
"RGLT00267","2023-02-14","TR02"
"RGLT00268","2023-02-15","TR01"
"RGLT00269","2023-02-21","TR02"
"RGLT00270","2023-02-20","TR01"
"RGLT00271","2023-02-16","TR03"
"RGLT00272","2023-01-24","TR01"
"RGLT00273","2023-01-27","TR02"
"RGLT00274","2023-02-17","TR01"
"RGLT00275","2023-02-03","TR02"
"RGLT00276","2023-01-27","TR03"
"RGLT00277","2023-02-14","TR01"
"RGLT00278","2023-01-30","TR02"
"RGLT00279","2023-02-13","TR03"
"RGLT00280","2023-01-26","TR02"
"RGLT00281","2023-02-03","TR01"
"RGLT00282","2023-01-28","TR01"
"RGLT00283","2023-02-15","TR03"
"RGLT00284","2023-02-21","TR01"
"RGLT00285","2023-02-02","TR02"
"RGLT00286","2023-02-14","TR03"
"RGLT00287","2023-01-26","TR01"
"RGLT00288","2023-02-14","TR01"
"RGLT00289","2023-02-21","TR03"
"RGLT00290","2023-01-30","TR03"
"RGLT00291","2023-02-03","TR02"
"RGLT00292","2023-02-02","TR01"
"RGLT00293","2023-02-18","TR02"
"RGLT00294","2023-02-08","TR03"
"RGLT00295","2023-02-01","TR01"
"RGLT00296","2023-02-06","TR01"
"RGLT00297","2023-02-05","TR03"
"RGLT00298","2023-02-12","TR02"
"RGLT00299","2023-01-25","TR03"
"RGLT00300","2023-01-29","TR02"
